COD;DIRECCION;COMUNA;BARRIO;EAS;NIDO;NIDO_;MODALIDAD;CONTACTO;V_1;V_2;V_3;V_4;V_5;V_6;V_7;V_8;V_9;V_10;V_11;V_12;V_13;V_14;V_15;V_16;V_17;V_18;V_19;V_20;V_21
96;3.457270278,-76.54279528;2;ALTOS DE NORMANDIA;FUNDACOBA;NIDO INFANCIA FELIZ;FDC_MF_NIDO INFANCIA FELIZ;FAMILIAR;3017752375;52;52;100,0;28;24;52;0;12;24;11;0;0;0;47;1;0;3;2;5;1;7
97;K 14 # 11 - 62;3;SAN BOSCO;FUNDACOBA;NIDO KUSHI TUPARINA;FDC_MF_NIDO KUSHI TUPARINA;FAMILIAR;3136360087;40;40;100,0;26;14;40;0;12;18;4;0;1;4;29;0;1;1;4;6;1;6
98;C 42 # 8 - 02;20;LA ESTRELLA;FUNDACOBA;NIDO LA ESTRELLA;FDC_MF_NIDO LA ESTRELLA;FAMILIAR;301784254;50;53;106,0;24;29;53;0;12;26;8;0;0;0;46;0;0;3;4;7;1;7
99;3.440094444,-76.47008056;21;JARILLON SAMANES DEL CAUCA;FUNDACOBA;NIDO MI REFUGIO ENCANTADO;FDC_MF_NIDO MI REFUGIO ENCANTADO;FAMILIAR;3136360087;50;50;100,0;33;17;50;0;20;16;1;0;4;0;33;0;1;8;4;13;1;6
100;C 3C # 94 - 2 O;18;ALTO DE POLVORINES;FUNDACOBA;NIDO NUBE DE AZUCAR;FDC_MF_NIDO NUBE DE AZUCAR;FAMILIAR;3122433640;55;55;100,0;31;24;55;0;18;32;2;0;2;1;49;0;1;2;0;3;1;7
101;C 2C # 75 - 10;18;LOS CHORROS;FUNDACOBA;NIDO SUEÑOS DE ALGODON;FDC_MF_NIDO SUEÑOS DE ALGODON;FAMILIAR;3122433640;54;54;100,0;35;19;54;0;17;27;2;0;0;3;43;0;1;3;4;8;1;7
102;C 51B # 6H - 2 O;20;TIERRA BLANCA;FUNDACOBA;NIDO TIERRA BLANCA;FDC_MF_NIDO TIERRA BLANCA;FAMILIAR;3017842540;45;45;100,0;27;18;45;0;16;20;3;0;2;1;36;1;2;2;2;6;1;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
